id,Name,Artist,Album,Genre,Comments,Location,Grouping
e3d59502-fd2d-42dd-97fb-f811eef1b205,1A/12A - Invisible Spectrum,Chaos In The CBD,Invisible Spectrum,House,"Rhythmic, Groover, Mover, World",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%201A_12A%20-%20Invisible%20Spectrum.mp3,
aba371bc-8d4f-4107-a53c-f66ad72b55b6,RB01 B1,Regelbau,RB01,House,"Breakbeat, Downtempo, Intro, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/House/02%20RB01%20B1.mp3,
7d74ba89-a92d-4265-8a14-00df8147e14e,Balmes (Original Album Version),Ian Pooley,Since Then,House,"Disco, Jazz, Rhythmic, Mover, Groover, Summer, Dance",file:///Users/renier.botha/Music/DJ/Files/2022/House/06%20Balmes%20(Original%20Album%20Version).mp3,
f1e1ea20-e4cb-41ee-9a3d-a7ba0555014a,Don't You Ever Give Up (Ricanstruction Vocal),Innervision Featuring Melonie Daniels,Body & Soul NYC Vol. 2 (Unmixed),House,"Garage, Soul, Disco, Summer, Sunset, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/08%20Don't%20You%20Ever%20Give%20Up%20(Ricanstruction%20Vocal).mp3,
3154634f-4caf-4b4b-bc59-51510e7ffe69,"Stop Bajon (12"" version)",Tullio de Piscopo,Grand 12-Inches 7: Compiled by Ben Liebrand,Funk,"Intro, Summer, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/Funk/1-10%20Stop%20Bajon%20(12_%20version).mp3,
9d31f226-386a-4e39-94f9-e16e042309d8,Dreamer,Local Artist,Dancer / Dreamer EP,House,"Progressive, Rhythmic, Funk, Space",file:///Users/renier.botha/Music/DJ/Files/2022/House/02%20Dreamer.mp3,
8bab173e-a15e-47fb-ae25-d964b8cbff42,A Basement Romance,John Mood,V/A - Local Talk - Talking House Vol.2 [2013],House,"Piano, Synth, Lo fi, Soul, Dancefloor",file:///Users/renier.botha/Music/DJ/Files/2022/House/03%20A%20Basement%20Romance.mp3,
beac79a7-fa19-408d-9ab8-29feeb60faf1,Haute (Dub),Bodhi,Polysizer EP,House,"Groover, Mover, Downtempo, Lo-fi",file:///Users/renier.botha/Music/DJ/Files/2022/House/04%20Haute%20(Dub).mp3,
064407c0-ac03-42a3-8d99-095e4909d44b,Can You Feel It,Mike Sharon,V/A - Local Talk - Talking House Vol.2 [2013],House,"Fluffy, Soul, Groover, Intro, Breather, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/House/14%20Can%20You%20Feel%20It.mp3,
4979cecd-7bba-4469-981b-00b3cdbc3f50,Whatever You Need (Original Mix),Moon Boots,Whatever You Need,House,"Summer, Melodic, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%20Whatever%20You%20Need%20(Original%20Mix).mp3,
b4b9f53e-aecb-4bdf-9606-1bb39f4dd9e2,Got 2 B U,Solar House,Café Del Mar - Chillhouse Mix  2,House,"Progressive, Funk, Deep House, Summer, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/1-03%20Got%202%20B%20U.mp3,
edbd421e-75f1-408f-b128-12eaea4645d6,The No Side,Rimbaudian,Vibing EP,House,"Skip, Groover, Dancefloor",file:///Users/renier.botha/Music/DJ/Files/2022/House/02%20The%20No%20Side.mp3,
0ef5901d-4a08-4617-9a88-c1d3da7f6cf1,Crush Mood,Lone,"Ambivert Tools, Vol. 1",House,"Lo-fi, Acid, Detroit",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%20Crush%20Mood.mp3,
ff8ac89d-9a10-4694-b979-5050ec40db10,Love Shy (Subjoi's Tuff Jam Rework),Subjoi,Love Shy,House,"Soul, Banger, Disco",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%20Love%20Shy%20(Subjoi's%20Tuff%20Jam%20Rework).mp3,
a65dc68d-e5d7-48e8-bc2d-47ba40f91e45,Only Love Can Break Your Heart (Masters At Work Dub),Saint Etienne,,Garage,"Progressive, House, Mover, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/Garage/Only%20Love%20Can%20Break%20Your%20Heart%20(Masters%20At%20Work%20Dub).mp3,
7a82c671-6e4f-4f04-bace-6a5ce78af8a9,Kiburu's,Leon Vynehall,Rojus Designed To Dance,House,"Rhythmic, Progressive, Euphoric, Banger",file:///Users/renier.botha/Music/DJ/Files/2022/House/1-07%20Kiburu's.mp3,
4124f08a-e657-4ef1-a7e8-5954c4b4ea8c,Days Like This (Spinna & Ticklah Club Mix),Shaun Escoffery,Body & Soul 15 Years,House,"Soul, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/1-02%20Days%20Like%20This%20(Spinna%20&%20Ticklah%20Club%20Mix).mp3,
855f528b-716d-4c9c-bb53-c2e6791f3a54,Traumer - Oscla (original mix),Traumer,movements ep,Techno,"Tribal, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/02%20Traumer%20-%20Oscla%20(original%20mix).mp3,
7ec72531-9d39-49b6-8c9d-7d55e418e943,What A Surprise (Frankie Feliciano Remix),Cooly's Hot-Box,Body & Soul NYC Vol. 4,Garage,"Soul, House, Groover, Funk, Lounge",file:///Users/renier.botha/Music/DJ/Files/2022/Garage/02%20What%20A%20Surprise%20(Frankie%20Feliciano%20Remix).mp3,
d8bf7b0c-4bd2-494c-b950-f0d24fdde573,The charter,Pépé Bradock,Synthèse,House,"Funk, French, Soul, Jazz, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/House/05%20The%20charter.mp3,
7e5befc4-99ae-4e34-8484-3c665b402516,J.A.W.S. (Original Mix),Lxury,J.A.W.S,House,"Melodic, Rhythmic, Indie, Summer, Dancefloor, Banger",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%20J.A.W.S.%20(Original%20Mix).mp3,
49b018b8-3b9d-470b-abe8-a3649355764a,Carousel,LK,SNFW003,House,"Indie, Disco, Funk, Dancefloor, Banger",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%20Carousel.mp3,
4ef90c19-1be4-4e55-9759-546e0cd01a8a,It's So Easy (MuthaFunkaz 12' Vocal),DJ Spen & The MuthaFunkaz feat. Ann Nesby,For The Love of House Volume 2,House,"Detroit, Soul, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/25%20It's%20So%20Easy%20(MuthaFunkaz%2012'%20Vocal).mp3,
c88a83d5-5656-472b-9324-987a81a6dd0c,Sky Hunt,DJ Steaw,Talking House Vol.1,House,"Classic, Dance, Summer, Groover, Dancefloor",file:///Users/renier.botha/Music/DJ/Files/2022/House/02%20Sky%20Hunt.mp3,
fc505ce1-b3cf-4bc6-9406-a9e695b08f81,Raw Cuts #5,Motor City Drum Ensemble,Raw Cuts Vol. 1,House,"Rhythmic, Groover, Skip, Intro",file:///Users/renier.botha/Music/DJ/Files/2022/House/09%20Raw%20Cuts%20%235.mp3,
7df92bfe-33f9-4351-ab1d-3812100c9661,Be Dup,Pure Science ,Pure Spirit Presents Sci-Phi,House,"Melodic, Euphoric, Progressive, Groover, Dancefloor",file:///Users/renier.botha/Music/DJ/Files/2022/House/03%20Be%20Dup.mp3,
3f0d96b1-b9bc-40be-8338-86e38f90d27e,Angelinian War Storm,tape_hiss,In the Realms of the Unreal,Techno,"Dancefloor, Banger, Clap!",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/1-01%20Angelinian%20War%20Storm.mp3,
